Post Malone,Syracuse,New York
Camila Cabello,Havana,Cuba
Lil Pump,Miami,Florida
Imagine Dragons,Las Vegas,Nevada
Ed Sheeran,Halifax,West Yorkshire
2017 Dynamo Hitz,Pompano Beach,Florida
Sam Smith,London,England
Portugal. The Man,Portland,Oregon
Demi Lovato,Albuquerque,New Mexico
Maroon 5,Los Angeles,Caliornia
G-Eazy,Oakland,California
J Balvin,Medellin,Colombia
Logic,Gaithersburg,Maryland
Halsey,New York City,New YOrk
21 Savage,Atlanta,Georgia
Gucci Mane,Altlanta,Georgia
Migos,Lawrenceville,Georgia
Dua Lipa,London,England
Luis Fonsi,San Juan,Puerto Rico
Selena Gomez,Grand Praire,Texas
Khalid,Fort Stewart,Georgia
Taylor Swift,Reading,Pennsylvania
P!nk,Doylestown,Pennsylvania
Kesha,Los Angeles,California
Yo Gotti,Memphis,Tennessee
French Montana,Rabat,Morocco
6ix9ine,New York City,New York
Charlie Puth,Rumson,New Jersey
Bruno Mars,Honolulu,Hawaii
Shawn Mendes,Toronto,Ontario
Liam Payne,Wolverhampton,England
SZA,St.Louis,Missouri
Lil Uzi Vert,Philadelphia,Pennsylvania
Halsey,Clark,New Jersey
Niall Horan,Mullingar,Ireland
blackbear,Daytona Beach,Florida
Bebe Rexha,New York City,New York
LANCO,Nashville,Tennessee
Chris Brown,Tappahannock,Virginia
NF,Gladwin,Michigan
Kendrick Lamar,Compton,California
A$AP Ferg,New York City,New York
Luke Combs,Asheville,North Carolina
YBN Nahmir,Birmingham,Alabama
Hailee Steinfeld,Los Angeles,California
Offset,Lawrenceville,Georgia
Eminem,St.Joseph,Missouri
Miguel,Los Angeles,California
Luke Bryan,Leesburg,Georgia
Kelly Clarkson,Fort Worth,Texas
Brett Young,Orange County,California
Blake Shelton,Nashville,Tennessee
N.E.R.D,Virginia Beach,Virginia
NAV,Toronto,Ontario
Macklemore,Seattle,Washington
ZAYN,Bradford,West Yorkshire
Lil Xan,Redlands,California
MAX,New York City,New York
Tay-K,Long Beach,California
Eric Church,Nashville,Tennessee
Russell Dickerson,Union City,Tennessee
Becky G,Inglewood,California
Chris Young,Murfreesboro,Tennessee
Bobby Pinson,Tulsa,Oklahoma
Maren Morris,Arlington,Texas
Chris Janson,Perryville,Missouri
Lil Peep,Long Island,New York
XXXTENTACION,Florida Lauderhill,Florida
Young Thug,Atlanta,Georgia
Carly Pearce,Nashville,Tennessee
Walker Hayes,Mobile,Alabama
Jauz,Los Angeles,California
Famous Dex,Chicago,Illinois
Machine Gun Kelly,Cleveland,Ohio
Tank,"Washington, D.C","Washington, D.C"
YoungBoy Never Broke Again,Baton Rouge,Louisiana
Chris Stapleton,Lexington,Kentucky
Tim McGraw,Delhi,Louisiana
Old Dominion,Nashville,Tennessee
Calvin Harris,Los Angeles,California