Acousticness,Artist,Danceability,Duration,Energy,ID,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Title,Valence
0.128,Post Malone,0.58,218320,0.531,1OmcAT5Y8eg5bUPv9qJT4R,1.27E-4,5,0.143,-6.631,0,0.0776,159.786,Rockstar,0.141
0.186,Camila Cabello,0.768,216897,0.517,0ofbQMrRDsUaVKq2mGLEAb,3.8E-5,7,0.104,-4.323,0,0.0312,104.992,Havana,0.418
0.247,Lil Pump,0.95,124056,0.533,6foxplXS0YEq8cO374Lty4,0.0,5,0.114,-7.022,1,0.148,119.869,Gucci Gang,0.675
0.00782,Imagine Dragons,0.604,187147,0.826,5VnDkUNyX6u5Sk0yZiP8XB,0.15,0,0.154,-4.804,1,0.0434,167.985,Thunder,0.241
0.163,Ed Sheeran,0.599,263400,0.448,0tgVpDi06FyKpA1z0VMD4v,0.0,8,0.106,-6.312,1,0.0232,95.05,Perfect,0.168
0.0606,2017 Dynamo Hitz,0.813,220395,0.574,3g2qgbWPl8TcgJIkstWpSV,0.0,9,0.428,-9.401,1,0.0577,124.982,Bodak Yellow (Money Moves),0.546
0.615,Sam Smith,0.661,201000,0.373,3VlbOrM6nYPprVvzBZllE5,0.0,5,0.177,-8.249,1,0.0505,91.5,Too Good At Goodbyes,0.523
0.0417,Portugal. The Man,0.801,163253,0.795,6QgjcU0zLnzq5OrUoSZ3OK,1.13E-4,1,0.0717,-5.115,0,0.0504,79.028,Feel It Still,0.754
0.0223,Demi Lovato,0.702,203760,0.635,3Du2K5dLzmduCNp6uwuaL0,0.0,11,0.283,-6.917,0,0.265,144.004,Sorry Not Sorry,0.873
0.0805,Maroon 5,0.792,199849,0.612,4nYsmWkuTaowTMy4gskmBw,3.83E-6,5,0.0852,-5.212,0,0.0693,109.959,What Lovers Do,0.42
0.0117,G-Eazy,0.838,245387,0.771,2Xqd0wUttjueBfdcltADOv,0.0,1,0.0853,-3.791,1,0.244,175.957,No Limit,0.405
0.0164,J Balvin,0.535,189440,0.678,4ipnJyDU3Lq15qBAYNqlqK,1.31E-5,11,0.128,-4.906,0,0.0998,102.681,Mi Gente,0.287
0.57,Logic,0.629,250173,0.572,5tz69p7tJuGPeMGwNTxYuV,0.0,5,0.192,-7.733,0,0.0387,100.015,1-800-273-8255,0.386
0.06,Halsey,0.675,181279,0.736,7y9iMe8SOB6z3NoHE2OfXl,0.0,0,0.0879,-3.604,1,0.0302,118.369,Bad At Love,0.607
0.0151,21 Savage,0.884,220307,0.346,2fQrGHiQOvpL9UgPvtYy6G,7.04E-6,8,0.0871,-8.228,0,0.351,75.016,Bank Account,0.376
0.0232,Gucci Mane,0.89,233087,0.633,1HTtUBEY3tuw2btgwwI2Ja,3.43E-4,11,0.0993,-5.475,1,0.168,139.948,I Get The Bag,0.425
0.0519,Migos,0.901,307660,0.529,1YZfcVLbbJwfizR5cDOp3q,0.0,2,0.179,-4.443,1,0.191,138.003,MotorSport,0.146
0.00274,Dua Lipa,0.756,209333,0.682,6tF92PMv01Ug9Dh8Rmy6nH,8.85E-6,9,0.147,-6.577,0,0.0753,116.008,New Rules,0.589
0.222,Luis Fonsi,0.63,228827,0.815,6rPO02ozF3bM7NnOV4h6s2,0.0,2,0.091,-4.265,1,0.152,88.357,Despacito,0.813
0.129,Selena Gomez,0.72,197993,0.807,0tBbt8CrmxbjRP0pueQkyU,0.0,11,0.183,-4.59,0,0.0432,124.946,Wolves,0.305
0.0777,Post Malone,0.573,223347,0.543,75ZvA4QfFiZvzhj2xkaWAh,0.0,8,0.199,-5.357,0,0.0398,143.916,I Fall Apart,0.308
0.199,Khalid,0.798,202547,0.539,5Z3GHaZ6ec9bsiI5BenrbY,1.66E-5,1,0.165,-6.351,1,0.0421,136.949,Young Dumb & Broke,0.394
0.0512,Imagine Dragons,0.772,204347,0.78,1NtIMM4N0cFa1dNzN15chl,0.0,10,0.119,-4.288,0,0.108,124.988,Believer,0.719
0.0665,Taylor Swift,0.615,208198,0.779,7zgqtptZvhf8GEmdsM2vp2,0.0,2,0.155,-6.454,1,0.135,160.0,...Ready For It?,0.453
0.0285,P!nk,0.489,269600,0.588,0Qh38w01QRXK6KHIv0e3hb,2.11E-6,1,0.0906,-6.177,1,0.0507,113.617,What About Us,0.187
0.48,Kesha,0.565,230269,0.381,79NlESqzFSW0hdBWgls4FX,0.0,10,0.109,-7.204,1,0.0302,73.483,Praying,0.325
0.022,Yo Gotti,0.91,276333,0.444,4knL4iPxPOZjQzTUlELGSY,0.0,1,0.137,-8.126,0,0.344,149.953,Rake It Up,0.53
0.0293,French Montana,0.726,233902,0.769,3B54sVLJ402zGa6Xm4YGNe,0.0101,6,0.104,-5.043,1,0.123,97.985,Unforgettable,0.733
0.0485,6ix9ine,0.689,157643,0.761,2vjmyyAnDUzilFYxOlTdO1,0.0,1,0.136,-4.939,1,0.13,78.514,Gummo,0.698
0.0969,Charlie Puth,0.774,211475,0.626,4iLqG9SeJSnt0cSPICSjxv,3.12E-5,3,0.0848,-4.432,0,0.0432,100.041,Attention,0.777
0.581,Ed Sheeran,0.825,233713,0.652,0FE9t6xYkqWXU2ahLh6D8X,0.0,1,0.0931,-3.183,0,0.0802,95.977,Shape Of You,0.931
0.013,Bruno Mars,0.853,206693,0.56,0KKkJNfGyhkQ5aFogxQAPU,0.0,1,0.0944,-4.961,1,0.0406,134.066,That's What I Like,0.86
0.357,Shawn Mendes,0.858,199440,0.799,7JJmb5XwzOO8jgpou264Ml,0.0,2,0.091,-4.034,1,0.0589,121.991,There's Nothing Holdin' Me Back,0.966
0.189,Charlie Puth,0.849,198237,0.581,32DGGj6KlNuBr6WaqRxpxi,3.61E-6,1,0.0805,-5.243,0,0.0767,110.008,How Long,0.779
0.198,Post Malone,0.627,220293,0.812,3a1lNhkSLSkpJE4MSHpDu9,0.0,6,0.212,-4.215,1,0.0358,123.071,Congratulations,0.504
0.221,Liam Payne,0.87,204502,0.488,4Ro98RCK90oHqqSZUnTFq5,0.0,6,0.0767,-5.586,1,0.0537,106.008,Strip That Down,0.519
0.241,SZA,0.487,272187,0.366,6gU9OKjOE7ghfEd55oRO57,0.0,8,0.126,-9.405,0,0.0531,68.191,The Weekend,0.161
0.617,Lil Uzi Vert,0.703,221747,0.757,2eAZfqOm4EnOF9VvN50Tyc,0.0,1,0.106,-3.612,1,0.05,82.008,The Way Life Goes,0.696
0.06,Halsey,0.675,181279,0.736,7y9iMe8SOB6z3NoHE2OfXl,0.0,0,0.0879,-3.604,1,0.0302,118.369,Love.,0.607
0.0133,Niall Horan,0.726,188174,0.429,27vTihlWXiz9f9lJM3XGVU,0.0,0,0.0574,-6.623,1,0.0519,85.899,Slow Hands,0.871
0.00572,blackbear,0.74,233705,0.657,53mrVsi49rLHIaKBiSvElG,0.0,8,0.211,-6.309,1,0.0595,112.016,Do Re Mi,0.179
0.047,Bebe Rexha,0.643,163870,0.783,7iDa6hUg2VgEL1o1HjmfBn,0.0,10,0.083,-6.458,1,0.0856,154.084,Meant To Be,0.579
0.256,Marshmello,0.52,180823,0.761,7vGuf3Y35N4wmASOKLUVVU,4.96E-6,4,0.17,-3.093,1,0.0853,141.971,Silence,0.286
0.21,Taylor Swift,0.767,211859,0.671,2VjtYe7gpfUi2OkGxR2O2z,1.12E-5,9,0.129,-6.416,0,0.142,128.072,Look What You Made Me Do,0.474
0.38,LANCO,0.665,222400,0.621,0kdiUZDcLIFw0Buo9r0Q4z,0.0,10,0.119,-8.571,1,0.0524,147.975,Greatest Love Story,0.632
0.119,Chris Brown,0.82,292910,0.696,4YkwUfWSIxdKNLDXw0caFO,0.0,7,0.231,-4.918,0,0.182,144.981,Pills And Automobiles,0.617
0.0328,Luis Fonsi,0.726,173720,0.889,2hl6q70unbviGo3g1R7uFx,0.0,0,0.0925,-3.655,1,0.0429,96.024,Echame La Culpa,0.649
0.298,NF,0.656,212120,0.721,52okn5MNA47tk87PeZJLEL,0.0,5,0.173,-5.665,0,0.122,148.066,Let You Down,0.468
2.59E-4,Kendrick Lamar,0.904,177000,0.611,7KXjTSCq5nL1LoYtL7XAwS,2.03E-5,1,0.0976,-6.842,0,0.0888,150.02,Humble.,0.4
0.0651,A$AP Ferg,0.797,173600,0.844,4dVpf9jZjcORqGTLUaeYj9,0.0,11,0.087,-5.482,1,0.275,170.142,Plain Jane,0.52
0.013,Luke Combs,0.551,240760,0.801,1mMLMZYXkMueg65jRRWG1l,6.03E-6,6,0.265,-5.069,1,0.0303,128.027,When It Rains It Pours,0.625
6.55E-4,YBN Nahmir,0.721,156057,0.71,0taOCiup4HNG9LmbduVlJj,0.0,7,0.359,-9.294,1,0.295,108.024,Rubbin Off The Paint,0.509
0.032,Hailee Steinfeld,0.667,174800,0.726,5Gu0PDLN4YJeW75PpBSg9p,0.0,8,0.0745,-4.172,1,0.054,103.001,Let Me Go,0.77
0.149,Offset,0.88,172800,0.428,7sO5G9EABYOXQKNPNiE9NR,5.07E-5,9,0.114,-8.28,1,0.206,100.007,Ric Flair Drip,0.333
0.8,Eminem,0.577,303781,0.593,7zLGHiDWd9T1Rxw4PQCb13,0.0,9,0.623,-4.816,0,0.137,120.611,Walk On Water,0.575
0.0306,Kodak Black,0.747,213132,0.524,40oKW22ZNNkEdZLJTScaQI,0.0,10,0.2,-6.807,0,0.245,140.053,Roll In Peace,0.363
0.0293,French Montana,0.726,233902,0.769,3B54sVLJ402zGa6Xm4YGNe,0.0101,6,0.104,-5.043,1,0.123,97.985,Unforgettable,0.733
0.0876,Miguel,0.629,260077,0.717,1DRW9bQzt2SE8f7H4KJZyL,0.0,6,0.358,-5.706,1,0.0638,145.959,Sky Walker,0.129
0.129,Luke Bryan,0.596,177292,0.935,6znSbsDDFdBZaiucjUGaWy,0.0,6,0.108,-2.794,0,0.0855,130.029,Light It Up,0.678
0.00755,Kelly Clarkson,0.811,172599,0.596,0o7glLPfZgns8ZF14Wlpf7,1.15E-5,11,0.0588,-5.428,1,0.0621,130.03,Love So Soft,0.673
0.179,Brett Young,0.579,207187,0.573,3T6MAweakkNrMYs8jZIWtg,0.0,1,0.083,-5.991,1,0.0292,76.02,Like I Loved You,0.637
0.163,Blake Shelton,0.47,183200,0.852,2n5ZD87XQ2yvIxGjoYbUmZ,2.04E-6,4,0.281,-5.874,1,0.0933,168.063,I'll Name The Dogs,0.773
0.00194,N.E.R.D,0.919,219880,0.73,6tUgfsOa8PLkoede5nOR7D,8.51E-5,1,0.101,-6.581,1,0.088,95.044,Lemon,0.189
0.168,NAV,0.793,228080,0.718,790MhTXPFrYkrqCKvpg4t1,0.0,9,0.241,-4.966,0,0.0547,146.885,Wanted You,0.649
0.331,21 Savage,0.782,268933,0.436,5u6vkDnOyaf8LsteDAj2ub,1.3E-5,2,0.342,-7.033,1,0.155,82.994,Ghostface Killers,0.243
0.633,Post Malone,0.765,229573,0.688,42CeaId2XNlxugDvyqHfDf,0.0,4,0.0734,-5.566,1,0.0841,90.013,Candy Paint,0.434
0.446,Macklemore,0.712,240507,0.51,2Za1AlJNvksouPPWbXpR2X,2.46E-5,8,0.112,-8.162,1,0.0633,122.964,Good Old Days,0.268
0.101,ZAYN,0.258,239000,0.437,1j4kHkkpqZRBwE0A4CN4Yv,1.27E-6,11,0.106,-6.593,0,0.039,180.043,Dusk Till Dawn,0.0967
0.416,Lil Xan,0.823,187453,0.419,6NWl2m8asvH83xjuXVNsuG,0.0,10,0.105,-10.358,0,0.165,119.958,Betrayed,0.277
0.0458,MAX,0.622,225013,0.571,60vvp6UXG2KmLmrNvcVHa8,0.0,0,0.122,-5.338,0,0.0493,81.059,Lights Down Low,0.635
0.0168,Tay-K,0.788,140945,0.533,5RCfvwDewu6p2x1mEI6smX,0.0,9,0.204,-7.594,1,0.352,80.04,The Race,0.468
0.0446,Eric Church,0.639,214627,0.427,52ioLaTnO2J7BWY8UN2n9D,2.32E-5,2,0.107,-9.013,1,0.0336,76.08,Round Here Buzz,0.457
0.119,Russell Dickerson,0.555,216960,0.722,6RSNKGdv3nDTHqgw4bdzyF,0.0,11,0.0861,-6.005,1,0.034,134.058,Yours,0.559
0.141,Becky G,0.743,202453,0.855,7JNh1cfm0eXjqFVOzKLyau,0.0045,5,0.099,-3.976,0,0.0436,96.989,Mayores,0.871
0.0715,Chris Young,0.584,178253,0.621,6waqLPcT6ruMhmd36OhmFO,1.68E-6,1,0.389,-5.703,1,0.0443,92.003,Losing Sleep,0.634
0.00579,Bobby Pinson,0.529,255373,0.724,3ExcxvkepzqXKkf8tfZlI8,0.0,2,0.261,-4.798,1,0.0306,83.98,Ask Me How I Know,0.472
0.214,Maren Morris,0.638,196422,0.634,09iyGiljLWRYXdRazFkdtJ,0.0,6,0.0866,-6.474,1,0.0468,92.097,I Could Use A Love Song,0.473
0.0297,Chris Janson,0.563,188933,0.887,0s6OWiWGuiCcm1Muzch5A8,0.0,1,0.352,-5.013,1,0.0857,158.05,Fix A Drink,0.794
0.0157,Lil Peep,0.368,214427,0.796,7Hr2XoaGpIMKbNXCZDZ3le,0.0,1,0.0694,-4.923,0,0.0823,170.033,Awful Things,0.181
0.0172,XXXTENTACION,0.797,146520,0.533,7AQim7LbvFVZJE3O8TYgf2,1.52E-4,0,0.103,-9.74,0,0.0412,131.036,F**k Love,0.329
0.00252,Young Thug,0.842,215307,0.597,25oOaleife6E2MIKmFkPvg,0.0,2,0.124,-6.336,1,0.0627,145.992,Relationship,0.298
0.0319,Kodak Black,0.804,169345,0.66,1WIZiOuNO3woKfdlSK2gNn,0.0,10,0.103,-4.86,0,0.0726,94.053,Transportin',0.257
0.469,XXXTENTACION,0.872,119133,0.391,7m9OqQk4RVRkw9JJdeAw96,4.13E-6,0,0.297,-9.144,0,0.242,134.021,Jocelyn Flores,0.437
0.44,Carly Pearce,0.637,180053,0.444,2wxfu24GQpEZQrjDJm5Ac1,5.46E-6,0,0.0954,-6.355,1,0.0417,139.775,Every Little Thing,0.319
0.496,Walker Hayes,0.846,197840,0.711,6UsoV6X96Rox9mfxoz7SFy,0.0,0,0.247,-7.939,1,0.061,120.013,You Broke Up With Me,0.883
0.00292,Jauz,0.66,250560,0.946,290p5lpLAbMAr290S0P7gZ,0.783,1,0.0934,-4.513,0,0.0712,124.999,End Game,0.1
0.381,Niall Horan,0.509,223044,0.538,39jXnbACjiaiTwwhsr5sY5,0.0,0,0.13,-6.456,1,0.0397,153.711,Too Much To Ask,0.178
0.0715,Lil Uzi Vert,0.813,207039,0.528,1uL78kFWxhz3umTMWJu8n5,0.0,6,0.125,-6.305,0,0.313,79.532,Sauce It Up,0.131
0.0149,Famous Dex,0.921,191252,0.467,3ncgNpxLoBQ65ABk4djDyd,2.38E-4,1,0.334,-8.443,1,0.119,135.995,Pick It Up,0.287
0.00413,Machine Gun Kelly,0.653,202805,0.718,0OI7AFifLSoGzpb8bdBLLV,0.0,3,0.0537,-5.232,0,0.213,82.034,Home,0.216
0.248,Post Malone,0.662,179613,0.496,5yuShbu70mtHXY0yLzCQLQ,0.0,5,0.0769,-8.267,1,0.109,81.951,Go Flex,0.133
0.186,Tank,0.612,309153,0.325,2VmuO6Ku6Tki3YqE2NbBHP,1.06E-5,6,0.109,-9.497,0,0.0794,117.831,When We,0.0628
0.0323,Macklemore,0.731,220454,0.794,0CokSRCu5hZgPxcZBaEzVE,2.59E-5,0,0.112,-5.126,0,0.0522,139.994,Glorious,0.356
0.00543,Chris Brown,0.614,129478,0.598,5XQMr19TL7Mfksq9zihbOu,0.0,10,0.1,-6.335,0,0.0561,105.803,Questions,0.565
0.0285,P!nk,0.489,269600,0.588,0Qh38w01QRXK6KHIv0e3hb,2.11E-6,1,0.0906,-6.177,1,0.0507,113.617,Beautiful Trauma,0.187
0.113,YoungBoy Never Broke Again,0.658,160000,0.736,57IRaiAB4hBZu3gnNVZC0v,0.0,9,0.0978,-6.097,0,0.308,143.966,No Smoke,0.804
0.133,Chris Stapleton,0.607,180907,0.575,06gD2ZtK3Dzc1BYqWExQJJ,2.52E-6,8,0.0566,-7.066,1,0.0252,78.341,Broken Halos,0.504
0.65,Tim McGraw,0.617,225360,0.468,3VupwwmeklG7tv2ELOJO8r,0.0,2,0.141,-6.908,1,0.0291,119.921,The Rest Of Our Life,0.333
0.593,Old Dominion,0.725,184080,0.437,2A69wys3S9uiPSmn6UZWJn,0.0,6,0.0842,-9.602,1,0.0575,83.985,Written In The Sand,0.759
0.319,Calvin Harris,0.776,240093,0.589,0pJPdSVti6cTM1Q6xYGmcf,0.0,9,0.0715,-4.543,0,0.115,120.034,Faking It,0.668
